Book Title,Author,Edition,Product Type,Copyright Year,Copyright Holder,Print ISBN,Electronic ISBN,Language,Language Collection,eBook Package,English Package Name,German Package Name,Series Print ISSN,Series Electronic ISSN,Series Title,Volume Number,DOI URL,OpenURL,Subject Classification,Publisher,Imprint
Introduction to Mathematica® for Physicists,Andrey Grozin,2014,Graduate/advanced undergraduate textbook,2014,Springer International Publishing Switzerland,978-3-319-00893-6,978-3-319-00894-3,EN,English/International,11651,Physics and Astronomy,,1868-4513,1868-4521,Graduate Texts in Physics,,http://doi.org/10.1007/978-3-319-00894-3,http://link.springer.com/openurl?genre=book&isbn=978-3-319-00894-3,"Physics; Numerical and Computational Physics, Simulation; Computer Applications in Chemistry; Particle and Nuclear Physics; Mathematical Applications in the Physical Sciences",Springer International Publishing,Springer
Statistical Learning from a Regression Perspective,Richard A. Berk,2nd ed. 2016,Graduate/advanced undergraduate textbook,2016,"Springer International Publishing AG, part of Springer Nature",978-3-319-44047-7,978-3-319-44048-4,EN,English/International,11649,Mathematics and Statistics,,1431-875X,2197-4136,Springer Texts in Statistics,,http://doi.org/10.1007/978-3-319-44048-4,http://link.springer.com/openurl?genre=book&isbn=978-3-319-44048-4,"Statistics; Statistical Theory and Methods; Probability Theory and Stochastic Processes; Statistics for Social Science, Behavorial Science, Education, Public Policy, and Law; Public Health; Psychological Methods/Evaluation; Methodology of the Social Sciences",Springer International Publishing,Springer
Applied Partial Differential Equations,J. David Logan,3rd ed. 2015,Undergraduate textbook,2015,Springer International Publishing Switzerland,978-3-319-12492-6,978-3-319-12493-3,EN,English/International,11649,Mathematics and Statistics,,0172-6056,2197-5604,Undergraduate Texts in Mathematics,,http://doi.org/10.1007/978-3-319-12493-3,http://link.springer.com/openurl?genre=book&isbn=978-3-319-12493-3,Mathematics; Partial Differential Equations; Mathematical Methods in Physics; Community & Population Ecology,Springer International Publishing,Springer
Principles of Astrophysics,Charles Keeton,2014,Undergraduate textbook,2014,Springer Science+Business Media New York,978-1-4614-9235-1,978-1-4614-9236-8,EN,English/International,11651,Physics and Astronomy,,2192-4791,2192-4805,Undergraduate Lecture Notes in Physics,,http://doi.org/10.1007/978-1-4614-9236-8,http://link.springer.com/openurl?genre=book&isbn=978-1-4614-9236-8,"Physics; Astronomy, Astrophysics and Cosmology; Classical and Quantum Gravitation, Relativity Theory; Classical Mechanics; Theoretical and Applied Mechanics",Springer New York,Springer
Air Pollution and Greenhouse Gases,Zhongchao Tan,2014,Graduate/advanced undergraduate textbook,2014,Springer Science+Business Media Singapore,978-981-287-211-1,978-981-287-212-8,EN,English/International,40367,Energy,,1865-3529,1865-3537,Green Energy and Technology,,http://doi.org/10.1007/978-981-287-212-8,http://link.springer.com/openurl?genre=book&isbn=978-981-287-212-8,"Engineering; Quality Control, Reliability, Safety and Risk; Atmospheric Protection/Air Quality Control/Air Pollution; Environmental Engineering/Biotechnology",Springer Singapore,Springer
Polymer Synthesis: Theory and Practice,"Dietrich Braun, Harald Cherdron, Matthias Rehahn, Helmut Ritter, Brigitte Voit",5th ed. 2013,Graduate/advanced undergraduate textbook,2013,Springer-Verlag Berlin Heidelberg,978-3-642-28979-8,978-3-642-28980-4,EN,English/International,11644,Chemistry and Materials Science,,,,,,http://doi.org/10.1007/978-3-642-28980-4,http://link.springer.com/openurl?genre=book&isbn=978-3-642-28980-4,"Chemistry; Polymer Sciences; Organic Chemistry; Soft and Granular Matter, Complex Fluids and Microfluidics; Physical Chemistry",Springer Berlin Heidelberg,Springer
Sustainable Supply Chains,"Yann Bouchery, Charles J. Corbett, Jan C. Fransoo, Tarkan Tan",1st ed. 2017,Graduate/advanced undergraduate textbook,2017,"Yann Bouchery, Charles J. Corbett, Jan C. Fransoo, and Tarkan Tan",978-3-319-29789-7,978-3-319-29791-0,EN,English/International,41169,Business and Management,,2365-6395,2365-6409,Springer Series in Supply Chain Management,4,http://doi.org/10.1007/978-3-319-29791-0,http://link.springer.com/openurl?genre=book&isbn=978-3-319-29791-0,Business and Management; Operations Research/Decision Theory; Supply Chain Management; Procurement,Springer International Publishing,Springer
Robotics,"Bruno Siciliano, Lorenzo Sciavicco, Luigi Villani, Giuseppe Oriolo",2009,Graduate/advanced undergraduate textbook,2009,Springer-Verlag London,978-1-84628-641-4,978-1-84628-642-1,EN,English/International,11647,Engineering,,1439-2232,2510-3814,Advanced Textbooks in Control and Signal Processing,,http://doi.org/10.1007/978-1-84628-642-1,http://link.springer.com/openurl?genre=book&isbn=978-1-84628-642-1,"Engineering; Robotics and Automation; Control, Robotics, Mechatronics; Machinery and Machine Elements",Springer London,Springer
Econometrics,Badi H. Baltagi,5th ed. 2011,Graduate/advanced undergraduate textbook,2011,Springer-Verlag Berlin Heidelberg,978-3-642-20058-8,978-3-642-20059-5,EN,English/International,11643,Business and Economics,,2192-4333,2192-4341,Springer Texts in Business and Economics,,http://doi.org/10.1007/978-3-642-20059-5,http://link.springer.com/openurl?genre=book&isbn=978-3-642-20059-5,"Economics; Econometrics; Statistics for Social Science, Behavorial Science, Education, Public Policy, and Law; Economic Theory/Quantitative Economics/Mathematical Methods; Game Theory, Economics, Social and Behav. Sciences",Springer Berlin Heidelberg,Springer
The Sea Floor,"Eugen Seibold, Wolfgang Berger",4th ed. 2017,Graduate/advanced undergraduate textbook,2017,"Springer International Publishing AG, part of Springer Nature",978-3-319-51411-6,978-3-319-51412-3,EN,English/International,11646,Earth and Environmental Science,,2510-1307,2510-1315,"Springer Textbooks in Earth Sciences, Geography and Environment",,http://doi.org/10.1007/978-3-319-51412-3,http://link.springer.com/openurl?genre=book&isbn=978-3-319-51412-3,Earth Sciences; Oceanography; Sedimentology; Ecology; Geoecology/Natural Processes; Marine & Freshwater Sciences,Springer International Publishing,Springer
SPSS for Starters and 2nd Levelers,"Ton J. Cleophas, Aeilko H. Zwinderman",2nd ed. 2016,Graduate/advanced undergraduate textbook,2016,Springer International Publishing Switzerland,978-3-319-20599-1,978-3-319-20600-4,EN,English/International,11642,Biomedical and Life Sciences,,,,,,http://doi.org/10.1007/978-3-319-20600-4,http://link.springer.com/openurl?genre=book&isbn=978-3-319-20600-4,"Biomedicine; Biomedicine, general; Computer Applications; Biometrics; Statistical Theory and Methods; Statistics and Computing/Statistics Programs",Springer International Publishing,Springer
Regression Modeling Strategies,"Frank E. Harrell , Jr.",2nd ed. 2015,Graduate/advanced undergraduate textbook,2015,Springer International Publishing Switzerland,978-3-319-19424-0,978-3-319-19425-7,EN,English/International,11649,Mathematics and Statistics,,0172-7397,2197-568X,Springer Series in Statistics,,http://doi.org/10.1007/978-3-319-19425-7,http://link.springer.com/openurl?genre=book&isbn=978-3-319-19425-7,"Statistics; Statistical Theory and Methods; Statistics for Life Sciences, Medicine, Health Sciences; Statistics and Computing/Statistics Programs",Springer International Publishing,Springer
Legal Dynamics of EU External Relations,Henri de Waele,2nd ed. 2017,Graduate/advanced undergraduate textbook,2017,Springer-Verlag GmbH Germany,978-3-662-54816-5,978-3-662-54817-2,EN,English/International,41177,Law and Criminology,,,,,,http://doi.org/10.1007/978-3-662-54817-2,http://link.springer.com/openurl?genre=book&isbn=978-3-662-54817-2,"Law; European Law; International Relations; Sources and Subjects of International Law, International Organizations",Springer Berlin Heidelberg,Springer
Food Analysis Laboratory Manual,S. Suzanne Nielsen,3rd ed. 2017,Undergraduate textbook,2017,Springer International Publishing,978-3-319-44125-2,978-3-319-44127-6,EN,English/International,11644,Chemistry and Materials Science,,1572-0330,2214-7799,Food Science Text Series,,http://doi.org/10.1007/978-3-319-44127-6,http://link.springer.com/openurl?genre=book&isbn=978-3-319-44127-6,Chemistry; Food Science; Industrial Chemistry/Chemical Engineering; Spectroscopy/Spectrometry,Springer International Publishing,Springer
Principles of Musical Acoustics,William M. Hartmann,2013,Undergraduate textbook,2013,Springer Science+Business Media New York,978-1-4614-6785-4,978-1-4614-6786-1,EN,English/International,11651,Physics and Astronomy,,2192-4791,2192-4805,Undergraduate Lecture Notes in Physics,,http://doi.org/10.1007/978-1-4614-6786-1,http://link.springer.com/openurl?genre=book&isbn=978-1-4614-6786-1,Physics; Acoustics; Neurobiology; Engineering Acoustics,Springer New York,Springer
Fundamentals of Structural Engineering,"Jerome J. Connor, Susan Faraji",2nd ed. 2016,Undergraduate textbook,2016,Springer International Publishing Switzerland,978-3-319-24329-0,978-3-319-24331-3,EN,English/International,11647,Engineering,,,,,,http://doi.org/10.1007/978-3-319-24331-3,http://link.springer.com/openurl?genre=book&isbn=978-3-319-24331-3,"Engineering; Light Construction, Steel Construction, Timber Construction; Building Construction and Design; Solid Construction; Structural Materials",Springer International Publishing,Springer
Basics of Laser Physics,Karl F. Renk,2nd ed. 2017,Graduate/advanced undergraduate textbook,2017,Springer International Publishing AG,978-3-319-50650-0,978-3-319-50651-7,EN,English/International,11651,Physics and Astronomy,,1868-4513,1868-4521,Graduate Texts in Physics,,http://doi.org/10.1007/978-3-319-50651-7,http://link.springer.com/openurl?genre=book&isbn=978-3-319-50651-7,"Physics; Optics, Lasers, Photonics, Optical Devices; Microwaves, RF and Optical Engineering; Classical Electrodynamics",Springer International Publishing,Springer
Applied Quantitative Finance,"Wolfgang Karl Härdle, Cathy Yi-Hsuan Chen, Ludger Overbeck",3rd ed. 2017,Graduate/advanced undergraduate textbook,2017,Springer-Verlag GmbH Germany,978-3-662-54485-3,978-3-662-54486-0,EN,English/International,11649,Mathematics and Statistics,,1431-8784,2197-1706,Statistics and Computing,,http://doi.org/10.1007/978-3-662-54486-0,http://link.springer.com/openurl?genre=book&isbn=978-3-662-54486-0,Statistics; Statistics for Business/Economics/Mathematical Finance/Insurance; Quantitative Finance; Risk Management; Business Finance,Springer Berlin Heidelberg,Springer
Handbook of Marriage and the Family,"Gary W. Peterson, Kevin R. Bush",3rd ed. 2013,Graduate/advanced undergraduate textbook,2013,Springer Science+Business Media New York,978-1-4614-3986-8,978-1-4614-3987-5,EN,English/International,11648,"Humanities, Social Sciences and Law",,,,,,http://doi.org/10.1007/978-1-4614-3987-5,http://link.springer.com/openurl?genre=book&isbn=978-1-4614-3987-5,Social Sciences; Family; Psychology Research; Social Work,Springer US,Springer
Solid-State Physics,"Harald Ibach, Hans Lüth",4th ed. 2009,Graduate/advanced undergraduate textbook,2009,Springer-Verlag Berlin Heidelberg,978-3-540-93803-3,978-3-540-93804-0,EN,English/International,11651,Physics and Astronomy,,,,,,http://doi.org/10.1007/978-3-540-93804-0,http://link.springer.com/openurl?genre=book&isbn=978-3-540-93804-0,"Physics; Condensed Matter Physics; Solid State Physics; Spectroscopy and Microscopy; Physical Chemistry; Engineering, general; Strongly Correlated Systems, Superconductivity",Springer Berlin Heidelberg,Springer
Electrochemical Impedance Spectroscopy and its Applications,Andrzej Lasia,2014,Graduate/advanced undergraduate textbook,2014,Springer Science+Business Media New York,978-1-4614-8932-0,978-1-4614-8933-7,EN,English/International,11644,Chemistry and Materials Science,,,,,,http://doi.org/10.1007/978-1-4614-8933-7,http://link.springer.com/openurl?genre=book&isbn=978-1-4614-8933-7,Chemistry; Electrochemistry; Spectroscopy/Spectrometry,Springer New York,Springer
Economics as Applied Ethics,Wilfred Beckerman,2nd ed. 2017,Undergraduate textbook,2017,The Editor(s) (if applicable) and The Author(s),978-3-319-50318-9,978-3-319-50319-6,EN,English/International,41170,Economics and Finance,,,,,,http://doi.org/10.1007/978-3-319-50319-6,http://link.springer.com/openurl?genre=book&isbn=978-3-319-50319-6,Economics; Social Choice/Welfare Economics/Public Choice; Economic Theory/Quantitative Economics/Mathematical Methods; Public Economics; International Political Economy,Springer International Publishing,Palgrave Macmillan
Electronics for Embedded Systems,Ahmet Bindal,1st ed. 2017,Undergraduate textbook,2017,Springer International Publishing Switzerland,978-3-319-39437-4,978-3-319-39439-8,EN,English/International,11647,Engineering,,,,,,http://doi.org/10.1007/978-3-319-39439-8,http://link.springer.com/openurl?genre=book&isbn=978-3-319-39439-8,"Engineering; Circuits and Systems; Electronics and Microelectronics, Instrumentation",Springer International Publishing,Springer
Concise Guide to Software Engineering,Gerard O'Regan,1st ed. 2017,Undergraduate textbook,2017,Springer International Publishing AG,978-3-319-57749-4,978-3-319-57750-0,EN,English/International,11645,Computer Science,,1863-7310,2197-1781,Undergraduate Topics in Computer Science,,http://doi.org/10.1007/978-3-319-57750-0,http://link.springer.com/openurl?genre=book&isbn=978-3-319-57750-0,Computer Science; Software Engineering; Computer Engineering; Software Management; Mathematical Software,Springer International Publishing,Springer
Fundamentals of Multimedia,"Ze-Nian Li, Mark S. Drew, Jiangchuan Liu",2nd ed. 2014,Graduate/advanced undergraduate textbook,2014,Springer International Publishing Switzerland,978-3-319-05289-2,978-3-319-05290-8,EN,English/International,11645,Computer Science,,1868-0941,1868-095X,Texts in Computer Science,,http://doi.org/10.1007/978-3-319-05290-8,http://link.springer.com/openurl?genre=book&isbn=978-3-319-05290-8,Computer Science; Image Processing and Computer Vision; Computer Communication Networks; Information Storage and Retrieval; Database Management,Springer International Publishing,Springer
Logistics,"Harald Gleissner, J. Christian Femerling",2013,Graduate/advanced undergraduate textbook,2013,Springer International Publishing Switzerland,978-3-319-01768-6,978-3-319-01769-3,EN,English/International,11643,Business and Economics,,2192-4333,2192-4341,Springer Texts in Business and Economics,,http://doi.org/10.1007/978-3-319-01769-3,http://link.springer.com/openurl?genre=book&isbn=978-3-319-01769-3,"Business and Management; Operations Management; Engineering Economics, Organization, Logistics, Marketing; Organization",Springer International Publishing,Springer
Group Theory Applied to Chemistry,Arnout Jozef Ceulemans,2013,Graduate/advanced undergraduate textbook,2013,Springer Science+Business Media Dordrecht,978-94-007-6862-8,978-94-007-6863-5,EN,English/International,11644,Chemistry and Materials Science,,2214-4714,2214-4722,Theoretical Chemistry and Computational Modelling,,http://doi.org/10.1007/978-94-007-6863-5,http://link.springer.com/openurl?genre=book&isbn=978-94-007-6863-5,Chemistry; Theoretical and Computational Chemistry; Crystallography and Scattering Methods; Inorganic Chemistry,Springer Netherlands,Springer
The Psychology of Social Status,"Joey T. Cheng, Jessica L. Tracy, Cameron Anderson",2014,Graduate/advanced undergraduate textbook,2014,Springer Science+Business Media New York,978-1-4939-0866-0,978-1-4939-0867-7,EN,English/International,11640,Behavioral Science,,,,,,http://doi.org/10.1007/978-1-4939-0867-7,http://link.springer.com/openurl?genre=book&isbn=978-1-4939-0867-7,"Psychology; Personality and Social Psychology; Social Structure, Social Inequality; Anthropology",Springer New York,Springer
A Modern Introduction to Probability and Statistics,"F.M. Dekking, C. Kraaikamp, H.P. Lopuhaä, L.E. Meester",2005,Undergraduate textbook,2005,Springer-Verlag London,978-1-85233-896-1,978-1-84628-168-6,EN,English/International,11649,Mathematics and Statistics,,1431-875X,2197-4136,Springer Texts in Statistics,,http://doi.org/10.1007/1-84628-168-7,http://link.springer.com/openurl?genre=book&isbn=978-1-84628-168-6,"Mathematics; Probability Theory and Stochastic Processes; Statistics for Engineering, Physics, Computer Science, Chemistry and Earth Sciences; Mathematical and Computational Engineering",Springer London,Springer
Complex Analysis,"Joseph Bak, Donald J. Newman",3rd ed. 2010,Undergraduate textbook,2010,"Springer Science+Business Media, LLC",978-1-4419-7287-3,978-1-4419-7288-0,EN,English/International,11649,Mathematics and Statistics,,0172-6056,2197-5604,Undergraduate Texts in Mathematics,,http://doi.org/10.1007/978-1-4419-7288-0,http://link.springer.com/openurl?genre=book&isbn=978-1-4419-7288-0,Mathematics; Analysis,Springer New York,Springer
Food Chemistry,"H.-D. Belitz, Werner Grosch, Peter Schieberle",4th ed. 2009,Graduate/advanced undergraduate textbook,2009,Springer-Verlag Berlin Heidelberg,978-3-540-69933-0,978-3-540-69934-7,EN,English/International,11644,Chemistry and Materials Science,,,,,,http://doi.org/10.1007/978-3-540-69934-7,http://link.springer.com/openurl?genre=book&isbn=978-3-540-69934-7,"Chemistry; Food Science; Agriculture; Analytical Chemistry; Biochemistry, general; Nutrition",Springer Berlin Heidelberg,Springer
Exam Survival Guide: Physical Chemistry,Jochen Vogt,1st ed. 2017,Undergraduate textbook,2017,Springer International Publishing AG,978-3-319-49808-9,978-3-319-49810-2,EN,English/International,11644,Chemistry and Materials Science,,,,,,http://doi.org/10.1007/978-3-319-49810-2,http://link.springer.com/openurl?genre=book&isbn=978-3-319-49810-2,Chemistry; Physical Chemistry; Thermodynamics; Spectroscopy/Spectrometry; Electrochemistry,Springer International Publishing,Springer
The Python Workbook,Ben Stephenson,2014,Undergraduate textbook,2014,Springer International Publishing Switzerland,978-3-319-14239-5,978-3-319-14240-1,EN,English/International,11645,Computer Science,,,,,,http://doi.org/10.1007/978-3-319-14240-1,http://link.springer.com/openurl?genre=book&isbn=978-3-319-14240-1,"Computer Science; Programming Languages, Compilers, Interpreters; Python; Computational Intelligence",Springer International Publishing,Springer
Practical Electrical Engineering,"Sergey N. Makarov, Reinhold Ludwig, Stephen J. Bitar",1st ed. 2016,Undergraduate textbook,2016,Springer International Publishing Switzerland,978-3-319-21172-5,978-3-319-21173-2,EN,English/International,11647,Engineering,,,,,,http://doi.org/10.1007/978-3-319-21173-2,http://link.springer.com/openurl?genre=book&isbn=978-3-319-21173-2,"Engineering; Circuits and Systems; Electronics and Microelectronics, Instrumentation; Electronic Circuits and Devices",Springer International Publishing,Springer
Strategic Retail Management,"Joachim Zentes, Dirk Morschett, Hanna Schramm-Klein",3rd ed. 2017,Undergraduate textbook,2017,Springer Fachmedien Wiesbaden GmbH,978-3-658-10182-4,978-3-658-10183-1,EN,English/International,41169,Business and Management,,,,,,http://doi.org/10.1007/978-3-658-10183-1,http://link.springer.com/openurl?genre=book&isbn=978-3-658-10183-1,Business and Management; Trade; Sales/Distribution; Marketing,Springer Fachmedien Wiesbaden,Springer Gabler
Food Analysis,S. Suzanne Nielsen,5th ed. 2017,Undergraduate textbook,2017,Springer International Publishing,978-3-319-45774-1,978-3-319-45776-5,EN,English/International,11644,Chemistry and Materials Science,,1572-0330,2214-7799,Food Science Text Series,,http://doi.org/10.1007/978-3-319-45776-5,http://link.springer.com/openurl?genre=book&isbn=978-3-319-45776-5,Chemistry; Food Science; Industrial Chemistry/Chemical Engineering; Spectroscopy/Spectrometry,Springer International Publishing,Springer
Psychoeducational Assessment and Report Writing,Stefan C. Dombrowski,2015,Graduate/advanced undergraduate textbook,2015,Springer Science+Business Media New York,978-1-4939-1910-9,978-1-4939-1911-6,EN,English/International,11640,Behavioral Science,,,,,,http://doi.org/10.1007/978-1-4939-1911-6,http://link.springer.com/openurl?genre=book&isbn=978-1-4939-1911-6,"Psychology; Child and School Psychology; Assessment, Testing and Evaluation; Social Work; Psychological Methods/Evaluation",Springer New York,Springer
Machine Learning in Medicine - a Complete Overview,"Ton J. Cleophas, Aeilko H. Zwinderman",2015,Graduate/advanced undergraduate textbook,2015,Springer International Publishing Switzerland,978-3-319-15194-6,978-3-319-15195-3,EN,English/International,11642,Biomedical and Life Sciences,,,,,,http://doi.org/10.1007/978-3-319-15195-3,http://link.springer.com/openurl?genre=book&isbn=978-3-319-15195-3,"Biomedicine; Biomedicine, general; Medicine/Public Health, general; Statistics, general; Science, Humanities and Social Sciences, multidisciplinary",Springer International Publishing,Springer
Evidence-Based Interventions for Children with Challenging Behavior,"Kathleen Hague Armstrong, Julia A. Ogg, Ashley N. Sundman-Wheat, Audra St. John Walsh",2014,Graduate/advanced undergraduate textbook,2014,Springer Science+Business Media New York,978-1-4614-7806-5,978-1-4614-7807-2,EN,English/International,11640,Behavioral Science,,,,,,http://doi.org/10.1007/978-1-4614-7807-2,http://link.springer.com/openurl?genre=book&isbn=978-1-4614-7807-2,"Psychology; Child and School Psychology; Assessment, Testing and Evaluation; Occupational Therapy; Family; Educational Psychology; Speech Pathology",Springer New York,Springer
Principles of Quantum Mechanics,R. Shankar,2nd ed. 1994,Graduate/advanced undergraduate textbook,1994,Springer Science+Business Media New York,978-0-306-44790-7,978-1-4757-0576-8,EN,English/International,11651,Physics and Astronomy,,,,,,http://doi.org/10.1007/978-1-4757-0576-8,http://link.springer.com/openurl?genre=book&isbn=978-1-4757-0576-8,"Physics; Quantum Physics; Mathematical Methods in Physics; Theoretical, Mathematical and Computational Physics; Classical Mechanics; Elementary Particles, Quantum Field Theory",Springer US,Springer
Recommender Systems,Charu C. Aggarwal,1st ed. 2016,Graduate/advanced undergraduate textbook,2016,Springer International Publishing Switzerland,978-3-319-29657-9,978-3-319-29659-3,EN,English/International,11645,Computer Science,,,,,,http://doi.org/10.1007/978-3-319-29659-3,http://link.springer.com/openurl?genre=book&isbn=978-3-319-29659-3,Computer Science; Data Mining and Knowledge Discovery,Springer International Publishing,Springer
Pharmaceutical Biotechnology,"Daan J. A. Crommelin, Robert D. Sindelar, Bernd Meibohm",4th ed. 2013,Undergraduate textbook,2013,Springer Science+Business Media New York,978-1-4614-6485-3,978-1-4614-6486-0,EN,English/International,11642,Biomedical and Life Sciences,,,,,,http://doi.org/10.1007/978-1-4614-6486-0,http://link.springer.com/openurl?genre=book&isbn=978-1-4614-6486-0,"Biomedicine; Pharmaceutical Sciences/Technology; Biomedicine, general",Springer New York,Springer
Python Programming Fundamentals,Kent D. Lee,2nd ed. 2014,Undergraduate textbook,2014,Springer-Verlag London,978-1-4471-6641-2,978-1-4471-6642-9,EN,English/International,11645,Computer Science,,1863-7310,2197-1781,Undergraduate Topics in Computer Science,,http://doi.org/10.1007/978-1-4471-6642-9,http://link.springer.com/openurl?genre=book&isbn=978-1-4471-6642-9,"Computer Science; Programming Languages, Compilers, Interpreters; Python",Springer London,Springer
The Finite Element Method and Applications in Engineering Using ANSYS®,"Erdogan Madenci, Ibrahim Guven",2nd ed. 2015,Graduate/advanced undergraduate textbook,2015,Springer International Publishing,978-1-4899-7549-2,978-1-4899-7550-8,EN,English/International,11647,Engineering,,,,,,http://doi.org/10.1007/978-1-4899-7550-8,http://link.springer.com/openurl?genre=book&isbn=978-1-4899-7550-8,"Engineering; Mechanical Engineering; Mathematical and Computational Engineering; Computer-Aided Engineering (CAD, CAE) and Design; Computational Science and Engineering",Springer US,Springer
Group Theory,"Mildred S. Dresselhaus, Gene Dresselhaus, Ado Jorio",2008,Graduate/advanced undergraduate textbook,2008,Springer-Verlag Berlin Heidelberg,978-3-540-32897-1,978-3-540-32899-5,EN,English/International,11651,Physics and Astronomy,,,,,,http://doi.org/10.1007/978-3-540-32899-5,http://link.springer.com/openurl?genre=book&isbn=978-3-540-32899-5,"Physics; Condensed Matter Physics; Group Theory and Generalizations; Theoretical, Mathematical and Computational Physics; Mathematical Methods in Physics; Optical and Electronic Materials",Springer Berlin Heidelberg,Springer
"Object-Oriented Analysis, Design and Implementation","Brahma Dathan, Sarnath Ramnath",2nd ed. 2015,Graduate/advanced undergraduate textbook,2015,Universities Press (India) Private Ltd.,978-3-319-24278-1,978-3-319-24280-4,EN,English/International,11645,Computer Science,,1863-7310,2197-1781,Undergraduate Topics in Computer Science,,http://doi.org/10.1007/978-3-319-24280-4,http://link.springer.com/openurl?genre=book&isbn=978-3-319-24280-4,Computer Science; Programming Techniques,Springer International Publishing,Springer
Introduction to Embedded Systems,"Manuel Jiménez, Rogelio Palomera, Isidoro Couvertier",2014,Undergraduate textbook,2014,Springer Science+Business Media New York,978-1-4614-3142-8,978-1-4614-3143-5,EN,English/International,11647,Engineering,,,,,,http://doi.org/10.1007/978-1-4614-3143-5,http://link.springer.com/openurl?genre=book&isbn=978-1-4614-3143-5,"Engineering; Circuits and Systems; Processor Architectures; Electronics and Microelectronics, Instrumentation",Springer New York,Springer
Elementary Mechanics Using Matlab,Anders Malthe-Sørenssen,2015,Undergraduate textbook,2015,Springer International Publishing Switzerland,978-3-319-19586-5,978-3-319-19587-2,EN,English/International,11651,Physics and Astronomy,,2192-4791,2192-4805,Undergraduate Lecture Notes in Physics,,http://doi.org/10.1007/978-3-319-19587-2,http://link.springer.com/openurl?genre=book&isbn=978-3-319-19587-2,"Physics; Mathematical Methods in Physics; Classical Mechanics; Numerical and Computational Physics, Simulation",Springer International Publishing,Springer
An Introduction to Biomechanics,"Jay D. Humphrey, Sherry L. O’Rourke",2nd ed. 2015,Graduate/advanced undergraduate textbook,2015,Springer Science+Business Media New York,978-1-4939-2622-0,978-1-4939-2623-7,EN,English/International,11642,Biomedical and Life Sciences,,,,,,http://doi.org/10.1007/978-1-4939-2623-7,http://link.springer.com/openurl?genre=book&isbn=978-1-4939-2623-7,Biomedicine; Human Physiology; Biomedical Engineering; Theoretical and Applied Mechanics; Biochemical Engineering,Springer New York,Springer
New Introduction to Multiple Time Series Analysis,Helmut Lütkepohl,2005,Graduate/advanced undergraduate textbook,2005,Springer-Verlag Berlin Heidelberg,978-3-540-40172-8,978-3-540-27752-1,EN,English/International,11643,Business and Economics,,,,,,http://doi.org/10.1007/978-3-540-27752-1,http://link.springer.com/openurl?genre=book&isbn=978-3-540-27752-1,Economics; Econometrics; Statistics for Business/Economics/Mathematical Finance/Insurance; Mathematical and Computational Engineering,Springer Berlin Heidelberg,Springer
Introduction to Data Science,"Laura Igual, Santi Seguí",1st ed. 2017,Undergraduate textbook,2017,Springer International Publishing Switzerland,978-3-319-50016-4,978-3-319-50017-1,EN,English/International,11645,Computer Science,,1863-7310,2197-1781,Undergraduate Topics in Computer Science,,http://doi.org/10.1007/978-3-319-50017-1,http://link.springer.com/openurl?genre=book&isbn=978-3-319-50017-1,Computer Science; Data Mining and Knowledge Discovery; Probability and Statistics in Computer Science; Pattern Recognition; Statistics and Computing/Statistics Programs,Springer International Publishing,Springer
Calculus With Applications,"Peter D. Lax, Maria Shea Terrell",2nd ed. 2014,Undergraduate textbook,2014,Springer Science+Business Media New York,978-1-4614-7945-1,978-1-4614-7946-8,EN,English/International,11649,Mathematics and Statistics,,0172-6056,2197-5604,Undergraduate Texts in Mathematics,,http://doi.org/10.1007/978-1-4614-7946-8,http://link.springer.com/openurl?genre=book&isbn=978-1-4614-7946-8,Mathematics; Calculus,Springer New York,Springer
An Introduction to Soil Mechanics,Arnold Verruijt,1st ed. 2018,Undergraduate textbook,2018,Springer International Publishing AG,978-3-319-61184-6,978-3-319-61185-3,EN,English/International,11646,Earth and Environmental Science,,0924-6118,2213-6940,Theory and Applications of Transport in Porous Media,30,http://doi.org/10.1007/978-3-319-61185-3,http://link.springer.com/openurl?genre=book&isbn=978-3-319-61185-3,Engineering; Civil Engineering; Hydrogeology; Soil Science & Conservation; Geotechnical Engineering & Applied Earth Sciences,Springer International Publishing,Springer
Game Theory,Hans Peters,2nd ed. 2015,Undergraduate textbook,2015,Springer-Verlag Berlin Heidelberg,978-3-662-46949-1,978-3-662-46950-7,EN,English/International,11643,Business and Economics,,2192-4333,2192-4341,Springer Texts in Business and Economics,,http://doi.org/10.1007/978-3-662-46950-7,http://link.springer.com/openurl?genre=book&isbn=978-3-662-46950-7,"Economics; Game Theory; Game Theory, Economics, Social and Behav. Sciences; Operations Research/Decision Theory; Microeconomics",Springer Berlin Heidelberg,Springer
Fundamentals of Clinical Trials,"Lawrence M. Friedman, Curt D. Furberg, David L. DeMets, David M. Reboussin, Christopher B. Granger",5th ed. 2015,Graduate/advanced undergraduate textbook,2015,Springer International Publishing Switzerland,978-3-319-18538-5,978-3-319-18539-2,EN,English/International,11649,Mathematics and Statistics,,,,,,http://doi.org/10.1007/978-3-319-18539-2,http://link.springer.com/openurl?genre=book&isbn=978-3-319-18539-2,"Statistics; Statistics for Life Sciences, Medicine, Health Sciences; Public Health; Epidemiology; Cancer Research; Oncology",Springer International Publishing,Springer
