Book Title,Author,Edition,Product Type,Copyright Year,Copyright Holder,Print ISBN,Electronic ISBN,Language,Language Collection,eBook Package,English Package Name,German Package Name,Series Print ISSN,Series Electronic ISSN,Series Title,Volume Number,DOI URL,OpenURL,Subject Classification,Publisher,Imprint
Computational Geometry,"Mark de Berg, Otfried Cheong, Marc van Kreveld, Mark Overmars",3rd ed. 2008,Graduate/advanced undergraduate textbook,2008,"Springer-Verlag GmbH Germany, part of Springer Nature",978-3-540-77973-5,978-3-540-77974-2,EN,English/International,11645,Computer Science,,,,,,http://doi.org/10.1007/978-3-540-77974-2,http://link.springer.com/openurl?genre=book&isbn=978-3-540-77974-2,"Computer Science; Theory of Computation; Geometry; Math Applications in Computer Science; Earth Sciences, general; Computer Graphics; Algorithm Analysis and Problem Complexity",Springer Berlin Heidelberg,Springer
Elementary Mechanics Using Python,Anders Malthe-Sørenssen,2015,Undergraduate textbook,2015,Springer International Publishing Switzerland,978-3-319-19595-7,978-3-319-19596-4,EN,English/International,11651,Physics and Astronomy,,2192-4791,2192-4805,Undergraduate Lecture Notes in Physics,,http://doi.org/10.1007/978-3-319-19596-4,http://link.springer.com/openurl?genre=book&isbn=978-3-319-19596-4,"Physics; Classical Mechanics; Numerical and Computational Physics, Simulation; Mathematical Methods in Physics",Springer International Publishing,Springer
Energy Economics,"Peter Zweifel, Aaron Praktiknjo, Georg Erdmann",1st ed. 2017,Undergraduate textbook,2017,Springer International Publishing AG,978-3-662-53020-7,978-3-662-53022-1,EN,English/International,40367,Energy,,2192-4333,2192-4341,Springer Texts in Business and Economics,,http://doi.org/10.1007/978-3-662-53022-1,http://link.springer.com/openurl?genre=book&isbn=978-3-662-53022-1,"Energy; Energy Policy, Economics and Management; Environmental Economics; Political Economy/Economic Policy; Energy Policy, Economics and Management; Industrial Organization",Springer Berlin Heidelberg,Springer
Biomedical Informatics,"Edward H. Shortliffe, James J. Cimino",4th ed. 2014,Graduate/advanced undergraduate textbook,2014,Springer-Verlag London,978-1-4471-4473-1,978-1-4471-4474-8,EN,English/International,11650,Medicine,,,,,,http://doi.org/10.1007/978-1-4471-4474-8,http://link.springer.com/openurl?genre=book&isbn=978-1-4471-4474-8,"Medicine & Public Health; Health Informatics; Biomedicine, general",Springer London,Springer
"Robotics, Vision and Control",Peter Corke,2nd ed. 2017,Graduate/advanced undergraduate textbook,2017,Springer International Publishing AG,978-3-319-54412-0,978-3-319-54413-7,EN,English/International,11647,Engineering,,1610-7438,1610-742X,Springer Tracts in Advanced Robotics,118,http://doi.org/10.1007/978-3-319-54413-7,http://link.springer.com/openurl?genre=book&isbn=978-3-319-54413-7,"Engineering; Robotics and Automation; Control; Image Processing and Computer Vision; Signal, Image and Speech Processing; Cognitive Psychology",Springer International Publishing,Springer
Acid-Base Diagrams,"Heike Kahlert, Fritz Scholz",2013,Undergraduate textbook,2013,Springer-Verlag Berlin Heidelberg,978-3-642-37901-7,978-3-642-37902-4,EN,English/International,11644,Chemistry and Materials Science,,,,,,http://doi.org/10.1007/978-3-642-37902-4,http://link.springer.com/openurl?genre=book&isbn=978-3-642-37902-4,"Chemistry; Analytical Chemistry; Biochemistry, general; Environmental Chemistry; Inorganic Chemistry; Physical Chemistry; Geochemistry",Springer Berlin Heidelberg,Springer
Brewing Science: A Multidisciplinary Approach,"Michael Mosher, Kenneth Trantham",1st ed. 2017,Graduate/advanced undergraduate textbook,2017,Springer International Publishing Switzerland,978-3-319-46393-3,978-3-319-46394-0,EN,English/International,11644,Chemistry and Materials Science,,,,,,http://doi.org/10.1007/978-3-319-46394-0,http://link.springer.com/openurl?genre=book&isbn=978-3-319-46394-0,Chemistry; Food Science; Organic Chemistry,Springer International Publishing,Springer
Learning Landscape Ecology,"Sarah E. Gergel, Monica G. Turner",2nd ed. 2017,Graduate/advanced undergraduate textbook,2017,Springer-Verlag New York,978-1-4939-6372-0,978-1-4939-6374-4,EN,English/International,11642,Biomedical and Life Sciences,,,,,,http://doi.org/10.1007/978-1-4939-6374-4,http://link.springer.com/openurl?genre=book&isbn=978-1-4939-6374-4,Life Sciences; Landscape Ecology; Landscape/Regional and Urban Planning; Terrestial Ecology; Monitoring/Environmental Analysis; Theoretical Ecology/Statistics,Springer New York,Springer
Probability,Jim Pitman,1993,Undergraduate textbook,1993,Springer Science+Business Media LLC,978-0-387-97974-8,978-1-4612-4374-8,EN,English/International,11649,Mathematics and Statistics,,1431-875X,2197-4136,Springer Texts in Statistics,,http://doi.org/10.1007/978-1-4612-4374-8,http://link.springer.com/openurl?genre=book&isbn=978-1-4612-4374-8,Mathematics; Probability Theory and Stochastic Processes; Statistical Theory and Methods,Springer New York,Springer
Modeling Life,"Alan Garfinkel, Jane Shevtsov, Yina Guo",1st ed. 2017,Undergraduate textbook,2017,Springer International Publishing AG,978-3-319-59730-0,978-3-319-59731-7,EN,English/International,11649,Mathematics and Statistics,,,,,,http://doi.org/10.1007/978-3-319-59731-7,http://link.springer.com/openurl?genre=book&isbn=978-3-319-59731-7,Mathematics; Mathematical and Computational Biology; Mathematical Modeling and Industrial Mathematics; Ordinary Differential Equations,Springer International Publishing,Springer
Introduction to Plasma Physics and Controlled Fusion,Francis Chen,3rd ed. 2016,Graduate/advanced undergraduate textbook,2016,Springer International Publishing Switzerland,978-3-319-22308-7,978-3-319-22309-4,EN,English/International,11651,Physics and Astronomy,,,,,,http://doi.org/10.1007/978-3-319-22309-4,http://link.springer.com/openurl?genre=book&isbn=978-3-319-22309-4,"Physics; Plasma Physics; Nuclear Energy; Nuclear Energy; Space Sciences (including Extraterrestrial Physics, Space Exploration and Astronautics); Classical Electrodynamics",Springer International Publishing,Springer
Engineering Mechanics 1,"Dietmar Gross, Werner Hauger, Jörg Schröder, Wolfgang A. Wall, Nimal Rajapakse",2nd ed. 2013,Graduate/advanced undergraduate textbook,2013,"Springer-Verlag GmbH Germany, part of Springer Nature",978-3-642-30318-0,978-3-642-30319-7,EN,English/International,11647,Engineering,,,,,,http://doi.org/10.1007/978-3-642-30319-7,http://link.springer.com/openurl?genre=book&isbn=978-3-642-30319-7,"Engineering; Mechanical Engineering; Civil Engineering; Electrical Engineering; Materials Science, general; Physics, general; Mathematics, general",Springer Berlin Heidelberg,Springer
Business Statistics for Competitive Advantage with Excel 2016 ,Cynthia Fraser,1st ed. 2016,Graduate/advanced undergraduate textbook,2016,Springer International Publishing Switzerland,978-3-319-32184-4,978-3-319-32185-1,EN,English/International,11649,Mathematics and Statistics,,,,,,http://doi.org/10.1007/978-3-319-32185-1,http://link.springer.com/openurl?genre=book&isbn=978-3-319-32185-1,Statistics; Statistics for Business/Economics/Mathematical Finance/Insurance; Management; Market Research/Competitive Intelligence,Springer International Publishing,Springer
Principles of Polymer Chemistry,A. Ravve,3rd ed. 2012,Graduate/advanced undergraduate textbook,2012,"Springer Science+Business Media, LLC",978-1-4614-2211-2,978-1-4614-2212-9,EN,English/International,11644,Chemistry and Materials Science,,,,,,http://doi.org/10.1007/978-1-4614-2212-9,http://link.springer.com/openurl?genre=book&isbn=978-1-4614-2212-9,Chemistry; Polymer Sciences; Organic Chemistry; Physical Chemistry,Springer New York,Springer
A Primer on Scientific Programming with Python,Hans Petter Langtangen,5th ed. 2016,Undergraduate textbook,2016,Springer-Verlag Berlin Heidelberg,978-3-662-49886-6,978-3-662-49887-3,EN,English/International,11649,Mathematics and Statistics,,1611-0994,2197-179X,Texts in Computational Science and Engineering,6,http://doi.org/10.1007/978-3-662-49887-3,http://link.springer.com/openurl?genre=book&isbn=978-3-662-49887-3,"Mathematics; Computational Science and Engineering; Programming Techniques; Mathematics of Computing; Numerical and Computational Physics, Simulation",Springer Berlin Heidelberg,Springer
Climate Change Science: A Modern Synthesis,"G. Thomas Farmer, John Cook",2013,Undergraduate textbook,2013,Springer Science+Business Media Dordrecht,978-94-007-5756-1,978-94-007-5757-8,EN,English/International,11646,Earth and Environmental Science,,,,,,http://doi.org/10.1007/978-94-007-5757-8,http://link.springer.com/openurl?genre=book&isbn=978-94-007-5757-8,"Environment; Environment, general; Climate Change/Climate Change Impacts; Earth Sciences, general; Lifelong Learning/Adult Education; Geography, general; Organic Chemistry",Springer Netherlands,Springer
Solar PV and Wind Energy Conversion Systems,"S. Sumathi, L. Ashok Kumar, P. Surekha",2015,Graduate/advanced undergraduate textbook,2015,Springer International Publishing Switzerland,978-3-319-14940-0,978-3-319-14941-7,EN,English/International,40367,Energy,,1865-3529,1865-3537,Green Energy and Technology,,http://doi.org/10.1007/978-3-319-14941-7,http://link.springer.com/openurl?genre=book&isbn=978-3-319-14941-7,"Energy; Renewable and Green Energy; Energy Systems; Power Electronics, Electrical Machines and Networks; Energy Efficiency; Energy Harvesting",Springer International Publishing,Springer
Statistical Analysis and Data Display,"Richard M. Heiberger, Burt Holland",2nd ed. 2015,Graduate/advanced undergraduate textbook,2015,Springer Science+Business Media New York,978-1-4939-2121-8,978-1-4939-2122-5,EN,English/International,11649,Mathematics and Statistics,,1431-875X,2197-4136,Springer Texts in Statistics,,http://doi.org/10.1007/978-1-4939-2122-5,http://link.springer.com/openurl?genre=book&isbn=978-1-4939-2122-5,"Statistics; Statistical Theory and Methods; Statistics and Computing/Statistics Programs; Statistics for Engineering, Physics, Computer Science, Chemistry and Earth Sciences",Springer New York,Springer
Business Process Management Cases,"Jan vom Brocke, Jan Mendling",1st ed. 2018,Graduate/advanced undergraduate textbook,2018,Springer International Publishing AG,978-3-319-58306-8,978-3-319-58307-5,EN,English/International,41169,Business and Management,,2192-8096,2192-810X,Management for Professionals,,http://doi.org/10.1007/978-3-319-58307-5,http://link.springer.com/openurl?genre=book&isbn=978-3-319-58307-5,"Business and Management; Business Process Management; Information Systems Applications (incl.Internet); Business Information Systems; Organization; Organizational Studies, Economic Sociology",Springer International Publishing,Springer
Elementary Analysis,Kenneth A. Ross,2nd ed. 2013,Undergraduate textbook,2013,Springer Science+Business Media New York,978-1-4614-6270-5,978-1-4614-6271-2,EN,English/International,11649,Mathematics and Statistics,,0172-6056,2197-5604,Undergraduate Texts in Mathematics,,http://doi.org/10.1007/978-1-4614-6271-2,http://link.springer.com/openurl?genre=book&isbn=978-1-4614-6271-2,Mathematics; Analysis; Real Functions,Springer New York,Springer
Cryptography Made Simple,Nigel Smart,1st ed. 2016,Undergraduate textbook,2016,Springer International Publishing Switzerland,978-3-319-21935-6,978-3-319-21936-3,EN,English/International,11645,Computer Science,,1619-7100,2197-845X,Information Security and Cryptography,,http://doi.org/10.1007/978-3-319-21936-3,http://link.springer.com/openurl?genre=book&isbn=978-3-319-21936-3,"Computer Science; Data Structures, Cryptology and Information Theory; Mathematics of Computing; Security Science and Technology; Discrete Mathematics",Springer International Publishing,Springer
Fluid Dynamics,Michel Rieutord,2015,Graduate/advanced undergraduate textbook,2015,Springer International Publishing Switzerland,978-3-319-09350-5,978-3-319-09351-2,EN,English/International,11651,Physics and Astronomy,,1868-4513,1868-4521,Graduate Texts in Physics,,http://doi.org/10.1007/978-3-319-09351-2,http://link.springer.com/openurl?genre=book&isbn=978-3-319-09351-2,Physics; Fluid- and Aerodynamics; Astrophysics and Astroparticles; Engineering Fluid Dynamics; Geophysics/Geodesy,Springer International Publishing,Springer
Social Media Management,Amy Van Looy,1st ed. 2016,Undergraduate textbook,2016,Springer International Publishing Switzerland,978-3-319-21989-9,978-3-319-21990-5,EN,English/International,41169,Business and Management,,2192-4333,2192-4341,Springer Texts in Business and Economics,,http://doi.org/10.1007/978-3-319-21990-5,http://link.springer.com/openurl?genre=book&isbn=978-3-319-21990-5,Business and Management; Media Management; IT in Business; Marketing; e-Commerce/e-business; Human Resource Management,Springer International Publishing,Springer
Statistics in Criminal Justice,"David Weisburd, Chester Britt",4th ed. 2014,Graduate/advanced undergraduate textbook,2014,Springer Science+Business Media New York,978-1-4614-9169-9,978-1-4614-9170-5,EN,English/International,11648,"Humanities, Social Sciences and Law",,,,,,http://doi.org/10.1007/978-1-4614-9170-5,http://link.springer.com/openurl?genre=book&isbn=978-1-4614-9170-5,"Criminology and Criminal Justice; Criminology and Criminal Justice, general",Springer US,Springer
Supply Chain Management and Advanced Planning,"Hartmut Stadtler, Christoph Kilger, Herbert Meyr",5th ed. 2015,Graduate/advanced undergraduate textbook,2015,Springer-Verlag Berlin Heidelberg,978-3-642-55308-0,978-3-642-55309-7,EN,English/International,11643,Business and Economics,,2192-4333,2192-4341,Springer Texts in Business and Economics,,http://doi.org/10.1007/978-3-642-55309-7,http://link.springer.com/openurl?genre=book&isbn=978-3-642-55309-7,"Business and Management; Supply Chain Management; Operations Management; IT in Business; Engineering Economics, Organization, Logistics, Marketing",Springer Berlin Heidelberg,Springer
Probability Theory,Alexandr A. Borovkov,2013,Graduate/advanced undergraduate textbook,2013,Springer-Verlag London,978-1-4471-5200-2,978-1-4471-5201-9,EN,English/International,11649,Mathematics and Statistics,,0172-5939,2191-6675,Universitext,,http://doi.org/10.1007/978-1-4471-5201-9,http://link.springer.com/openurl?genre=book&isbn=978-1-4471-5201-9,Mathematics; Probability Theory and Stochastic Processes,Springer London,Springer
Statistics and Data Analysis for Financial Engineering,"David Ruppert, David S. Matteson",2nd ed. 2015,Graduate/advanced undergraduate textbook,2015,Springer Science+Business Media New York,978-1-4939-2613-8,978-1-4939-2614-5,EN,English/International,11649,Mathematics and Statistics,,1431-875X,2197-4136,Springer Texts in Statistics,,http://doi.org/10.1007/978-1-4939-2614-5,http://link.springer.com/openurl?genre=book&isbn=978-1-4939-2614-5,"Statistics; Statistics for Business/Economics/Mathematical Finance/Insurance; Quantitative Finance; Statistical Theory and Methods; Finance, general",Springer New York,Springer
Readings in Formal Epistemology,"Horacio Arló-Costa, Vincent F. Hendricks, Johan van Benthem",1st ed. 2016,Graduate/advanced undergraduate textbook,2016,Springer International Publishing Switzerland,978-3-319-20450-5,978-3-319-20451-2,EN,English/International,41175,Religion and Philosophy,,2627-6046,2627-6054,Springer Graduate Texts in Philosophy,1,http://doi.org/10.1007/978-3-319-20451-2,http://link.springer.com/openurl?genre=book&isbn=978-3-319-20451-2,"Philosophy; Epistemology; Mathematical Logic and Formal Languages; Game Theory, Economics, Social and Behav. Sciences",Springer International Publishing,Springer
Differential Equations and Their Applications,Martin Braun,4th ed. 1993,Undergraduate textbook,1993,Springer Science+Business Media New York,978-0-387-97894-9,978-1-4612-4360-1,EN,English/International,11649,Mathematics and Statistics,,0939-2475,2196-9949,Texts in Applied Mathematics,11,http://doi.org/10.1007/978-1-4612-4360-1,http://link.springer.com/openurl?genre=book&isbn=978-1-4612-4360-1,Mathematics; Analysis,Springer New York,Springer
Nanotechnology: Principles and Practices,Sulabha K. Kulkarni,3rd ed. 2015,Graduate/advanced undergraduate textbook,2015,Capital Publishing Company,978-3-319-09170-9,978-3-319-09171-6,EN,English/International,11644,Chemistry and Materials Science,,,,,,http://doi.org/10.1007/978-3-319-09171-6,http://link.springer.com/openurl?genre=book&isbn=978-3-319-09171-6,Materials Science; Nanotechnology; Nanoscale Science and Technology; Nanochemistry,Springer International Publishing,Springer
Epidemiological Research: Terms and Concepts,O. S. Miettinen,2011,Graduate/advanced undergraduate textbook,2011,Springer Netherlands,978-94-007-1170-9,978-94-007-1171-6,EN,English/International,11642,Biomedical and Life Sciences,,,,,,http://doi.org/10.1007/978-94-007-1171-6,http://link.springer.com/openurl?genre=book&isbn=978-94-007-1171-6,"Biomedicine; Biomedicine, general; Epidemiology; Public Health; Medicine/Public Health, general; Biometrics; Biostatistics",Springer Netherlands,Springer
Multinational Management,Rien Segers,1st ed. 2016,Graduate/advanced undergraduate textbook,2016,Springer International Publishing Switzerland,978-3-319-23011-5,978-3-319-23012-2,EN,English/International,41169,Business and Management,,,,,,http://doi.org/10.1007/978-3-319-23012-2,http://link.springer.com/openurl?genre=book&isbn=978-3-319-23012-2,Business and Management; International Business,Springer International Publishing,Springer
Partial Differential Equations,Jürgen Jost,3rd ed. 2013,Graduate/advanced undergraduate textbook,2013,Springer Science+Business Media LLC,978-1-4614-4808-2,978-1-4614-4809-9,EN,English/International,11649,Mathematics and Statistics,,0072-5285,2197-5612,Graduate Texts in Mathematics,214,http://doi.org/10.1007/978-1-4614-4809-9,http://link.springer.com/openurl?genre=book&isbn=978-1-4614-4809-9,"Mathematics; Partial Differential Equations; Theoretical, Mathematical and Computational Physics",Springer New York,Springer
Bayesian and Frequentist Regression Methods,Jon Wakefield,2013,Graduate/advanced undergraduate textbook,2013,Springer Science+Business Media New York,978-1-4419-0924-4,978-1-4419-0925-1,EN,English/International,11649,Mathematics and Statistics,,0172-7397,2197-568X,Springer Series in Statistics,,http://doi.org/10.1007/978-1-4419-0925-1,http://link.springer.com/openurl?genre=book&isbn=978-1-4419-0925-1,"Statistics; Statistical Theory and Methods; Statistics, general",Springer New York,Springer
Strategic International Management,"Dirk Morschett, Hanna Schramm-Klein, Joachim Zentes",3rd ed. 2015,Graduate/advanced undergraduate textbook,2015,Springer Fachmedien Wiesbaden,978-3-658-07883-6,978-3-658-07884-3,EN,English/International,11643,Business and Economics,,,,,,http://doi.org/10.1007/978-3-658-07884-3,http://link.springer.com/openurl?genre=book&isbn=978-3-658-07884-3,"Business and Management; Business Strategy/Leadership; Business and Management, general; Management",Springer Fachmedien Wiesbaden,Springer Gabler
Basic Concepts in Computational Physics,"Benjamin A. Stickler, Ewald Schachinger",2nd ed. 2016,Undergraduate textbook,2016,Springer International Publishing Switzerland,978-3-319-27263-4,978-3-319-27265-8,EN,English/International,11651,Physics and Astronomy,,,,,,http://doi.org/10.1007/978-3-319-27265-8,http://link.springer.com/openurl?genre=book&isbn=978-3-319-27265-8,"Physics; Numerical and Computational Physics, Simulation; Mathematical and Computational Engineering; Computational Mathematics and Numerical Analysis; Theoretical and Computational Chemistry",Springer International Publishing,Springer
Eye Tracking Methodology,Andrew T. Duchowski,3rd ed. 2017,Graduate/advanced undergraduate textbook,2017,Springer International Publishing AG,978-3-319-57881-1,978-3-319-57883-5,EN,English/International,11645,Computer Science,,,,,,http://doi.org/10.1007/978-3-319-57883-5,http://link.springer.com/openurl?genre=book&isbn=978-3-319-57883-5,Computer Science; User Interfaces and Human Computer Interaction; Computer Graphics; Special Purpose and Application-Based Systems; Computer Appl. in Social and Behavioral Sciences,Springer International Publishing,Springer
Writing for Publication,"Mary Renck Jalongo, Olivia N. Saracho",1st ed. 2016,Graduate/advanced undergraduate textbook,2016,Springer International Publishing Switzerland,978-3-319-31648-2,978-3-319-31650-5,EN,English/International,41171,Education,,2366-7672,2366-7680,Springer Texts in Education,,http://doi.org/10.1007/978-3-319-31650-5,http://link.springer.com/openurl?genre=book&isbn=978-3-319-31650-5,"Education; Higher Education; Statistics for Social Science, Behavorial Science, Education, Public Policy, and Law; Printing and Publishing",Springer International Publishing,Springer
Mathematical Physics,Sadri Hassani,2nd ed. 2013,Graduate/advanced undergraduate textbook,2013,Springer International Publishing Switzerland,978-3-319-01194-3,978-3-319-01195-0,EN,English/International,11651,Physics and Astronomy,,,,,,http://doi.org/10.1007/978-3-319-01195-0,http://link.springer.com/openurl?genre=book&isbn=978-3-319-01195-0,"Physics; Theoretical, Mathematical and Computational Physics; Mathematical Methods in Physics; Numerical and Computational Physics, Simulation; Applications of Mathematics",Springer International Publishing,Springer
Correctional Counseling and Treatment,Peter C. Kratcoski,6th ed. 2017,Graduate/advanced undergraduate textbook,2017,Springer International Publishing AG,978-3-319-54348-2,978-3-319-54349-9,EN,English/International,41177,Law and Criminology,,,,,,http://doi.org/10.1007/978-3-319-54349-9,http://link.springer.com/openurl?genre=book&isbn=978-3-319-54349-9,"Criminology and Criminal Justice; Prison and Punishment; Psychotherapy and Counseling; Public Policy; Medicine/Public Health, general",Springer International Publishing,Springer
Thermodynamics and Energy Conversion,Henning Struchtrup,2014,Graduate/advanced undergraduate textbook,2014,Springer-Verlag Berlin Heidelberg,978-3-662-43714-8,978-3-662-43715-5,EN,English/International,11647,Engineering,,,,,,http://doi.org/10.1007/978-3-662-43715-5,http://link.springer.com/openurl?genre=book&isbn=978-3-662-43715-5,"Engineering; Engineering Thermodynamics, Heat and Mass Transfer; Thermodynamics; Industrial Chemistry/Chemical Engineering; Engineering Fluid Dynamics; Classical and Continuum Physics; Energy Systems",Springer Berlin Heidelberg,Springer
The Action Research Planner,"Stephen Kemmis, Robin McTaggart, Rhonda Nixon",2014,Graduate/advanced undergraduate textbook,2014,Springer Science+Business Media Singapore,978-981-4560-66-5,978-981-4560-67-2,EN,English/International,11648,"Humanities, Social Sciences and Law",,,,,,http://doi.org/10.1007/978-981-4560-67-2,http://link.springer.com/openurl?genre=book&isbn=978-981-4560-67-2,"Education; Teaching and Teacher Education; Learning and Instruction; Assessment, Testing and Evaluation",Springer Singapore,Springer
Stochastic Processes and Calculus,Uwe Hassler,1st ed. 2016,Graduate/advanced undergraduate textbook,2016,Springer International Publishing Switzerland,978-3-319-23427-4,978-3-319-23428-1,EN,English/International,41170,Economics and Finance,,2192-4333,2192-4341,Springer Texts in Business and Economics,,http://doi.org/10.1007/978-3-319-23428-1,http://link.springer.com/openurl?genre=book&isbn=978-3-319-23428-1,"Economics; Economic Theory/Quantitative Economics/Mathematical Methods; Statistics for Business/Economics/Mathematical Finance/Insurance; Quantitative Finance; Macroeconomics/Monetary Economics//Financial Economics; Econometrics; Game Theory, Economics, Social and Behav. Sciences",Springer International Publishing,Springer
Statistical Analysis of Clinical Data on a Pocket Calculator,"Ton J. Cleophas, Aeilko H. Zwinderman",2011,Graduate/advanced undergraduate textbook,2011,Springer Science+Business Media B.V.,978-94-007-1210-2,978-94-007-1211-9,EN,English/International,11642,Biomedical and Life Sciences,,,,,,http://doi.org/10.1007/978-94-007-1211-9,http://link.springer.com/openurl?genre=book&isbn=978-94-007-1211-9,"Biomedicine; Biomedicine, general; Chemistry/Food Science, general; Pharmacy; Medicine/Public Health, general; Computer Science, general; Life Sciences, general",Springer Netherlands,Springer
Clinical Data Analysis on a Pocket Calculator,"Ton J. Cleophas, Aeilko H. Zwinderman",2nd ed. 2016,Graduate/advanced undergraduate textbook,2016,Springer International Publishing Switzerland,978-3-319-27103-3,978-3-319-27104-0,EN,English/International,11642,Biomedical and Life Sciences,,,,,,http://doi.org/10.1007/978-3-319-27104-0,http://link.springer.com/openurl?genre=book&isbn=978-3-319-27104-0,"Biomedicine; Biomedicine, general; Entomology; Pharmacy; Statistics for Life Sciences, Medicine, Health Sciences",Springer International Publishing,Springer
The Data Science Design Manual,Steven S. Skiena,1st ed. 2017,Undergraduate textbook,2017,The Author(s),978-3-319-55443-3,978-3-319-55444-0,EN,English/International,11645,Computer Science,,1868-0941,1868-095X,Texts in Computer Science,,http://doi.org/10.1007/978-3-319-55444-0,http://link.springer.com/openurl?genre=book&isbn=978-3-319-55444-0,Computer Science; Data Mining and Knowledge Discovery; Pattern Recognition; Big Data/Analytics; Visualization; Statistics and Computing/Statistics Programs,Springer International Publishing,Springer
An Introduction to Machine Learning,Miroslav Kubat,2nd ed. 2017,Undergraduate textbook,2017,Springer International Publishing AG,978-3-319-63912-3,978-3-319-63913-0,EN,English/International,11645,Computer Science,,,,,,http://doi.org/10.1007/978-3-319-63913-0,http://link.springer.com/openurl?genre=book&isbn=978-3-319-63913-0,Computer Science; Data Mining and Knowledge Discovery; Big Data/Analytics; Computational Intelligence,Springer International Publishing,Springer
Guide to Discrete Mathematics,Gerard O'Regan,1st ed. 2016,Undergraduate textbook,2016,Springer International Publishing Switzerland,978-3-319-44560-1,978-3-319-44561-8,EN,English/International,11645,Computer Science,,1868-0941,1868-095X,Texts in Computer Science,,http://doi.org/10.1007/978-3-319-44561-8,http://link.springer.com/openurl?genre=book&isbn=978-3-319-44561-8,Computer Science; Discrete Mathematics in Computer Science; Arithmetic and Logic Structures; Logics and Meanings of Programs; History of Computing; Mathematical Applications in Computer Science; Math Applications in Computer Science,Springer International Publishing,Springer
Petroleum Geoscience,Knut Bjørlykke,2nd ed. 2015,Graduate/advanced undergraduate textbook,2015,Springer-Verlag Berlin Heidelberg,978-3-642-34131-1,978-3-642-34132-8,EN,English/International,11646,Earth and Environmental Science,,,,,,http://doi.org/10.1007/978-3-642-34132-8,http://link.springer.com/openurl?genre=book&isbn=978-3-642-34132-8,Earth Sciences; Geology,Springer Berlin Heidelberg,Springer
Structure Determination by X-ray Crystallography,"Mark Ladd, Rex Palmer",5th ed. 2013,Graduate/advanced undergraduate textbook,2013,Springer Science+Business Media New York,978-1-4614-3953-0,978-1-4614-3954-7,EN,English/International,11644,Chemistry and Materials Science,,,,,,http://doi.org/10.1007/978-1-4614-3954-7,http://link.springer.com/openurl?genre=book&isbn=978-1-4614-3954-7,Chemistry; Physical Chemistry; Crystallography and Scattering Methods; Protein Structure; Characterization and Evaluation of Materials; Geophysics/Geodesy,Springer US,Springer
Introduction to Time Series and Forecasting,"Peter J. Brockwell, Richard A. Davis",3rd ed. 2016,Graduate/advanced undergraduate textbook,2016,Springer International Publishing Switzerland,978-3-319-29852-8,978-3-319-29854-2,EN,English/International,11649,Mathematics and Statistics,,1431-875X,2197-4136,Springer Texts in Statistics,,http://doi.org/10.1007/978-3-319-29854-2,http://link.springer.com/openurl?genre=book&isbn=978-3-319-29854-2,"Statistics; Statistical Theory and Methods; Statistics for Business/Economics/Mathematical Finance/Insurance; Econometrics; Statistics for Engineering, Physics, Computer Science, Chemistry and Earth Sciences",Springer International Publishing,Springer
Principles of Mobile Communication,Gordon L. Stüber,4th ed. 2017,Graduate/advanced undergraduate textbook,2017,Springer International Publishing AG,978-3-319-55614-7,978-3-319-55615-4,EN,English/International,11647,Engineering,,,,,,http://doi.org/10.1007/978-3-319-55615-4,http://link.springer.com/openurl?genre=book&isbn=978-3-319-55615-4,"Engineering; Communications Engineering, Networks; Signal, Image and Speech Processing; Input/Output and Data Communications",Springer International Publishing,Springer
Cardiovascular Biomechanics,"Peter R. Hoskins, Patricia V. Lawford, Barry J. Doyle",1st ed. 2017,Graduate/advanced undergraduate textbook,2017,Springer International Publishing Switzerland,978-3-319-46405-3,978-3-319-46407-7,EN,English/International,11650,Medicine,,,,,,http://doi.org/10.1007/978-3-319-46407-7,http://link.springer.com/openurl?genre=book&isbn=978-3-319-46407-7,Medicine & Public Health; Cardiology; Biomedical Engineering; Medical and Radiation Physics; Human Physiology,Springer International Publishing,Springer
Introduction to Smooth Manifolds,John Lee,2nd ed. 2013,Graduate/advanced undergraduate textbook,2012,Springer Science+Business Media New York,978-1-4419-9981-8,978-1-4419-9982-5,EN,English/International,11649,Mathematics and Statistics,,0072-5285,2197-5612,Graduate Texts in Mathematics,218,http://doi.org/10.1007/978-1-4419-9982-5,http://link.springer.com/openurl?genre=book&isbn=978-1-4419-9982-5,Mathematics; Differential Geometry,Springer New York,Springer
Taxation in European Union,Pietro Boria,2nd ed. 2017,Graduate/advanced undergraduate textbook,2017,Springer International Publishing Switzerland and G. Giappichelli Editore,978-3-319-53918-8,978-3-319-53919-5,EN,English/International,41177,Law and Criminology,,,,,,http://doi.org/10.1007/978-3-319-53919-5,http://link.springer.com/openurl?genre=book&isbn=978-3-319-53919-5,"Law; European Law; Business Taxation/Tax Law; International Economic Law, Trade Law; Financial Law/Fiscal Law; European Integration",Springer International Publishing,Springer
Essentials of Cerebellum and Cerebellar Disorders,"Donna L. Gruol, Noriyuki Koibuchi, Mario Manto, Marco Molinari, Jeremy D. Schmahmann, Ying Shen",1st ed. 2016,Graduate/advanced undergraduate textbook,2016,Springer International Publishing Switzerland,978-3-319-24549-2,978-3-319-24551-5,EN,English/International,11642,Biomedical and Life Sciences,,,,,,http://doi.org/10.1007/978-3-319-24551-5,http://link.springer.com/openurl?genre=book&isbn=978-3-319-24551-5,Biomedicine; Gene Function; Neurosciences; Behavioral Sciences; Neurology,Springer International Publishing,Springer
